FileNum,Mileage,Color,AcquistionCost,SalesPrice,SoldOn,MMRAvgValue,Year,MakeName,ModelName,StyleName,AddrZip,TagDisplayName
30477,108009,Silver,3250,5600,05-09-2018,3975,2007,Toyota,Camry,LE 4dr Sedan (2.4L I4 5A),92806,Frame Damage
29742,69588,Silver,6700,7400,05-09-2018,7075,2014,Chevrolet,Cruze,1LT Auto 4dr Sedan w/1SD,92806,NULL
30475,86690,Silver,3000,5200,05-09-2018,3150,2005,Jeep,Grand Cherokee,Laredo 4dr SUV,92806,NULL
30476,111399,Silver,1500,3500,05-09-2018,2100,2004,GMC,Envoy XL,SLE 4dr SUV,92806,NULL
29010,129800,Silver,1575,1200,05-09-2018,2375,2005,Toyota,Corolla,4dr Sdn LE Auto,90266,NULL
30192,134110,Black,7750,9000,05-09-2018,8575,2011,Honda,Pilot,EX L 4dr SUV w/Navi,92806,NULL
29614,222300,Silver,500,100,05-09-2018,825,2000,Toyota,Avalon,XL 4dr Sedan,90015,Frame Damage
29140,0,Gold,200,100,05-09-2018,0,1999,Toyota,Camry,CE 4dr Sedan,92806,NULL
30077,128838,Silver,1000,1500,05-09-2018,1325,2006,Pontiac,G6,4dr Sedan w/V6,95051,NULL
29649,103292,Gray,4000,NULL,05-09-2018,5925,2005,Dodge,Dakota,4WD SLT 4dr Club Cab SB,95051,Frame Damage
27542,134788,Black,2000,1850,05-09-2018,1875,2005,Chrysler,300,C 4dr Sedan,90621,NULL
29738,110372,Red,2750,2700,05-09-2018,3175,2007,Cadillac,SRX,V6 4dr SUV,92806,NULL
30193,97747,Silver,6750,8400,05-09-2018,7375,2014,Chevrolet,Malibu,LT 4dr Sedan w/2LT,92806,NULL
30480,189398,LightBlue,3775,4700,05-09-2018,0,2005,Toyota,4Runner,SR5 4dr SUV,90266,NULL
30487,83195,White,7500,9300,05-09-2018,8175,2011,MINI,Cooper Countryman,AWD S ALL4 4dr Crossover,92806,NULL
30580,173559,Silver,200,NULL,07-09-2018,575,1996,Honda,Civic,DX 2dr Coupe,95051,NULL
30485,145998,Black,250,400,07-09-2018,500,2001,Hyundai,Elantra,GLS 4dr Sedan,92806,NULL
30339,170376,Silver,1575,1050,07-09-2018,0,1997,Toyota,4Runner,4dr Manual,90266,NULL
30327,150488,White,1750,1500,07-09-2018,1500,1999,Mercedes-Benz,CLK,CLK 320 2dr Convertible,90015,NULL
29509,207772,Green,300,350,07-09-2018,675,1999,BMW,3 Series,323i 4dr Sedan,95051,NULL
29420,89630,Silver,4400,4600,07-09-2018,3975,2009,Toyota,Corolla,Base 4dr Sedan 4A,92806,NULL
29393,266923,Black,0,500,07-09-2018,0,1992,Honda,Accord,EX 2dr Coupe,92806,NULL
30584,104916,Black,500,NULL,07-09-2018,0,1996,Ford,Mustang,GT 2dr Convertible,92675,TMU
30166,248089,Black,0,550,07-09-2018,350,1997,Mercedes-Benz,C-Class,C 230 4dr Sedan,90015,NULL
29188,207875,Green,700,600,07-09-2018,475,1999,Dodge,Durango,4dr SLT 4WD SUV,90621,NULL
29633,257549,White,2000,1450,07-09-2018,1850,2005,Dodge,Ram Pickup 1500,4dr Quad Cab ST RWD SB,95051,NULL
30178,203682,Gold,3500,2600,07-09-2018,2550,2005,Toyota,Sequoia,SR5 4dr SUV,92878,NULL
29009,99812,Black,3700,4700,12-09-2018,4600,2008,Honda,Accord,LX-S 2dr Coupe 5A,95051,NULL
26270,99834,Silver,1500,NULL,12-09-2018,1625,2005,Nissan,Quest,3.5 4dr Mini-Van,92806,NULL
29141,116836,Black,2000,2300,12-09-2018,2350,2003,Mercedes-Benz,E-Class,E 500 4dr Sedan,92806,NULL
29289,145998,Gold,2000,NULL,12-09-2018,2125,2005,Honda,Accord,EX 4dr Sedan,92806,NULL
30484,177816,Silver,2500,2500,12-09-2018,2675,2007,Nissan,Pathfinder,S 4dr SUV,90015,NULL
29783,168712,Gray,2000,NULL,12-09-2018,2075,2003,Dodge,Ram 1500,,90801,NULL
30205,216049,Black,1100,1500,12-09-2018,1700,2006,Infiniti,G35,4dr Sedan w/Automatic,92806,NULL
28341,121933,Black,2750,3700,12-09-2018,3100,2008,BMW,3 Series,328i 4dr Sedan SULEV,92806,NULL
29615,66763,Gray,4900,4300,12-09-2018,5125,2013,Ford,Focus,SE 4dr Sedan,90015,NULL
30531,95006,White,7750,6700,12-09-2018,5175,2013,Volkswagen,Jetta,SEL PZEV 4dr Sedan 6A,90015,NULL
29672,128564,Black,6000,5300,12-09-2018,5175,2015,Nissan,Sentra,S 4dr Sedan CVT,90015,NULL
30151,82515,White,6500,7200,12-09-2018,6800,2012,Volkswagen,Routan,SE 4dr Mini-Van,92675,NULL
29742,69588,Silver,6700,NULL,12-09-2018,7075,2014,Chevrolet,Cruze,1LT Auto 4dr Sedan w/1SD,92806,NULL
30167,126333,Maroon,7000,5800,12-09-2018,7525,2010,Mercedes-Benz,GLK,AWD GLK 350 4MATIC 4dr SUV,90015,NULL
30483,38012,White,7750,8500,12-09-2018,9425,2014,Nissan,Rogue Select,S 4dr Crossover,90015,NULL
28805,62386,Silver,19500,NULL,12-09-2018,18550,2014,Mercedes-Benz,E-Class,E 350 Luxury 4dr Sedan,90015,NULL
30582,62005,White,0,29250,12-09-2018,31500,2016,Lexus,RX 350,4dr SUV,93313,NULL
30487,83195,White,7500,7100,12-09-2018,8175,2011,MINI,Cooper Countryman,AWD S ALL4 4dr Crossover,92806,NULL
22248,76327,Gray,4250,4700,12-09-2018,3475,2010,Honda,Civic,Hybrid 4dr Sedan,92806,NULL
29665,33898,Black,19500,19500,12-09-2018,18600,2015,Subaru,WRX,AWD 4dr Sedan,90621,NULL
30595,99669,Black,5210,5100,12-09-2018,5850,2013,Nissan,Altima,2.5 4dr Sedan,90015,NULL
30594,95120,Black,1000,2500,12-09-2018,1800,2004,Nissan,Murano,SL 4dr SUV,90015,NULL
30593,100557,Black,2050,3600,12-09-2018,3425,2010,Jeep,Patriot,Sport 4dr SUV,90015,NULL
30592,143328,Gray,1000,1200,12-09-2018,1275,2005,Volkswagen,Jetta,New 2.5 PZEV 4dr Sedan,90015,NULL
30591,157185,Black,2650,3600,12-09-2018,3125,2007,Toyota,Camry,LE 4dr Sedan (2.4L I4 5A),90015,NULL
30590,32321,DarkBlue,12000,13000,12-09-2018,13300,2016,Toyota,Corolla,S Plus 4dr Sedan CVT,90015,NULL
30579,129095,Silver,2000,3100,12-09-2018,2250,2008,MINI,Cooper,S 2dr Hatchback,95051,NULL
30541,120654,Silver,3150,5000,12-09-2018,3650,2006,Honda,Pilot,EX-L w/DVD 4dr SUV,92806,NULL
30539,48403,White,8200,9500,12-09-2018,8750,2014,Nissan,Sentra,S 4dr Sedan CVT,92806,NULL
30581,78646,White,9600,11750,12-09-2018,10650,2011,BMW,3 Series,328i 2dr Convertible SULEV,95051,NULL
30534,121617,Gold,750,NULL,12-09-2018,650,2003,Volvo,V70,2.4 4dr Wagon,92806,NULL
30477,108009,Silver,3250,4500,12-09-2018,3975,2007,Toyota,Camry,LE 4dr Sedan (2.4L I4 5A),92806,Frame Damage
30482,111924,Black,7750,7400,12-09-2018,8100,2008,Audi,A8 L,AWD quattro 4dr Sedan,90015,NULL
30479,70214,Silver,7000,6350,12-09-2018,6225,2008,Mercedes-Benz,CLK,CLK 350 2dr Coupe,90015,NULL
30455,128917,Gray,8500,8500,12-09-2018,9325,2010,Mercedes-Benz,GL-Class,AWD GL 450 4MATIC 4dr SUV,90015,NULL
